Sıra No,Başvuru No,Çevre Kimlik No,İşletme Adı,İşletme Adres,Tesisi İli,Lisans Konuları,İzin Konuları,Belge Türü,Onay Tarihi,SertifikaId
136,488464,231193256,EKOVAR ÇEVRE GRUP GERİ DÖNÜŞÜM ATIK Depolama İNŞAAT TAAHHÜT SANAYİ VE TİCARET ANONİM ŞİRKETİ,"İNCİRLİK Mahallesi, İNCİRLİK KÜME EVLER, No: 70 C-, SİNCAN/ANKARA",ANKARA,Atık Ara Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,23.12.2019,2765
137,502432,261819254,HAŞİMOĞLU ÇEVRE ENTEGRE ATIK YÖNETİMİ GERİ DÖNÜŞÜM MADENCİLİK TAŞIMACILIK İNŞAAT GIDA TURİZM TEKSTİL OTOMOTİV PETROL ISITMA SOĞUTMA DOĞALGAZ SİSTEMLERİ TİCARET VE SANAYİ ANONİM ŞİRKETİ,"Acırlı Mahallesi, Mardin Caddesi, No:190-1, Midyat/MARDİN",MARDİN,Tehlikeli Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,08.07.2020,2765
138,502432,261819254,HAŞİMOĞLU ÇEVRE ENTEGRE ATIK YÖNETİMİ GERİ DÖNÜŞÜM MADENCİLİK TAŞIMACILIK İNŞAAT GIDA TURİZM TEKSTİL OTOMOTİV PETROL ISITMA SOĞUTMA DOĞALGAZ SİSTEMLERİ TİCARET VE SANAYİ ANONİM ŞİRKETİ,"Acırlı Mahallesi, Mardin Caddesi, No:190-1, Midyat/MARDİN",MARDİN, Tehlikesiz Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,08.07.2020,2765
139,502432,261819254,HAŞİMOĞLU ÇEVRE ENTEGRE ATIK YÖNETİMİ GERİ DÖNÜŞÜM MADENCİLİK TAŞIMACILIK İNŞAAT GIDA TURİZM TEKSTİL OTOMOTİV PETROL ISITMA SOĞUTMA DOĞALGAZ SİSTEMLERİ TİCARET VE SANAYİ ANONİM ŞİRKETİ,"Acırlı Mahallesi, Mardin Caddesi, No:190-1, Midyat/MARDİN",MARDİN, Ömrünü Tamamlamış Lastik Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,08.07.2020,2765
140,502432,261819254,HAŞİMOĞLU ÇEVRE ENTEGRE ATIK YÖNETİMİ GERİ DÖNÜŞÜM MADENCİLİK TAŞIMACILIK İNŞAAT GIDA TURİZM TEKSTİL OTOMOTİV PETROL ISITMA SOĞUTMA DOĞALGAZ SİSTEMLERİ TİCARET VE SANAYİ ANONİM ŞİRKETİ,"Acırlı Mahallesi, Mardin Caddesi, No:190-1, Midyat/MARDİN",MARDİN, Ambalaj Atığı Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,08.07.2020,2765
141,502432,261819254,HAŞİMOĞLU ÇEVRE ENTEGRE ATIK YÖNETİMİ GERİ DÖNÜŞÜM MADENCİLİK TAŞIMACILIK İNŞAAT GIDA TURİZM TEKSTİL OTOMOTİV PETROL ISITMA SOĞUTMA DOĞALGAZ SİSTEMLERİ TİCARET VE SANAYİ ANONİM ŞİRKETİ,"Acırlı Mahallesi, Mardin Caddesi, No:190-1, Midyat/MARDİN",MARDİN, Ömrünü Tamamlamış Araç Geçici Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,08.07.2020,2765
142,502432,261819254,HAŞİMOĞLU ÇEVRE ENTEGRE ATIK YÖNETİMİ GERİ DÖNÜŞÜM MADENCİLİK TAŞIMACILIK İNŞAAT GIDA TURİZM TEKSTİL OTOMOTİV PETROL ISITMA SOĞUTMA DOĞALGAZ SİSTEMLERİ TİCARET VE SANAYİ ANONİM ŞİRKETİ,"Acırlı Mahallesi, Mardin Caddesi, No:190-1, Midyat/MARDİN",MARDİN, Tanker Temizleme,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,08.07.2020,2765
143,502432,261819254,HAŞİMOĞLU ÇEVRE ENTEGRE ATIK YÖNETİMİ GERİ DÖNÜŞÜM MADENCİLİK TAŞIMACILIK İNŞAAT GIDA TURİZM TEKSTİL OTOMOTİV PETROL ISITMA SOĞUTMA DOĞALGAZ SİSTEMLERİ TİCARET VE SANAYİ ANONİM ŞİRKETİ,"Acırlı Mahallesi, Mardin Caddesi, No:190-1, Midyat/MARDİN",MARDİN, Hurda Metal /ÖTA İşleme,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,08.07.2020,2765
144,502432,261819254,HAŞİMOĞLU ÇEVRE ENTEGRE ATIK YÖNETİMİ GERİ DÖNÜŞÜM MADENCİLİK TAŞIMACILIK İNŞAAT GIDA TURİZM TEKSTİL OTOMOTİV PETROL ISITMA SOĞUTMA DOĞALGAZ SİSTEMLERİ TİCARET VE SANAYİ ANONİM ŞİRKETİ,"Acırlı Mahallesi, Mardin Caddesi, No:190-1, Midyat/MARDİN",MARDİN, Atık Elektrikli ve Elektronik Eşya İşleme,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,08.07.2020,2765
145,502432,261819254,HAŞİMOĞLU ÇEVRE ENTEGRE ATIK YÖNETİMİ GERİ DÖNÜŞÜM MADENCİLİK TAŞIMACILIK İNŞAAT GIDA TURİZM TEKSTİL OTOMOTİV PETROL ISITMA SOĞUTMA DOĞALGAZ SİSTEMLERİ TİCARET VE SANAYİ ANONİM ŞİRKETİ,"Acırlı Mahallesi, Mardin Caddesi, No:190-1, Midyat/MARDİN",MARDİN, PCB Arındırma,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,08.07.2020,2765
146,502432,261819254,HAŞİMOĞLU ÇEVRE ENTEGRE ATIK YÖNETİMİ GERİ DÖNÜŞÜM MADENCİLİK TAŞIMACILIK İNŞAAT GIDA TURİZM TEKSTİL OTOMOTİV PETROL ISITMA SOĞUTMA DOĞALGAZ SİSTEMLERİ TİCARET VE SANAYİ ANONİM ŞİRKETİ,"Acırlı Mahallesi, Mardin Caddesi, No:190-1, Midyat/MARDİN",MARDİN, Atık Ara Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,08.07.2020,2765
147,502432,261819254,HAŞİMOĞLU ÇEVRE ENTEGRE ATIK YÖNETİMİ GERİ DÖNÜŞÜM MADENCİLİK TAŞIMACILIK İNŞAAT GIDA TURİZM TEKSTİL OTOMOTİV PETROL ISITMA SOĞUTMA DOĞALGAZ SİSTEMLERİ TİCARET VE SANAYİ ANONİM ŞİRKETİ,"Acırlı Mahallesi, Mardin Caddesi, No:190-1, Midyat/MARDİN",MARDİN, Atıktan Türetilmiş Yakıt (ATY) Hazırlama Tesisi,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,08.07.2020,2765
148,502432,261819254,HAŞİMOĞLU ÇEVRE ENTEGRE ATIK YÖNETİMİ GERİ DÖNÜŞÜM MADENCİLİK TAŞIMACILIK İNŞAAT GIDA TURİZM TEKSTİL OTOMOTİV PETROL ISITMA SOĞUTMA DOĞALGAZ SİSTEMLERİ TİCARET VE SANAYİ ANONİM ŞİRKETİ,"Acırlı Mahallesi, Mardin Caddesi, No:190-1, Midyat/MARDİN",MARDİN, Ambalaj Atığı Toplama ve Ayırma Tip ,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,08.07.2020,2765
149,546377,223316748,POLEN BOYA KİMYEVİ MADDE İNŞAAT HAFRİYAT NAKLİYAT TEMİZLİK İMALAT İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,"KARADENİZLİLER Mahallesi, FAKÜLTE CADDE, No:167-, BAŞİSKELE/KOCAELİ",KOCAELİ,Tehlikeli Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,12.01.2022,2765
150,546377,223316748,POLEN BOYA KİMYEVİ MADDE İNŞAAT HAFRİYAT NAKLİYAT TEMİZLİK İMALAT İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,"KARADENİZLİLER Mahallesi, FAKÜLTE CADDE, No:167-, BAŞİSKELE/KOCAELİ",KOCAELİ, Tehlikesiz Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,12.01.2022,2765
151,546377,223316748,POLEN BOYA KİMYEVİ MADDE İNŞAAT HAFRİYAT NAKLİYAT TEMİZLİK İMALAT İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,"KARADENİZLİLER Mahallesi, FAKÜLTE CADDE, No:167-, BAŞİSKELE/KOCAELİ",KOCAELİ, Tanker Temizleme,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,12.01.2022,2765
152,508494,222777838,ER METAL MADENCİLİK SANAYİ VE TİCARET LİMİTED ŞİRKET - ACIGÖL ŞUBESİ,"Nevşehir Mah., No: 1-, Acıgöl/NEVŞEHİR",NEVŞEHİR,Tehlikeli Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,24.03.2021,2765
153,508494,222777838,ER METAL MADENCİLİK SANAYİ VE TİCARET LİMİTED ŞİRKET - ACIGÖL ŞUBESİ,"Nevşehir Mah., No: 1-, Acıgöl/NEVŞEHİR",NEVŞEHİR, Tehlikesiz Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,24.03.2021,2765
154,508494,222777838,ER METAL MADENCİLİK SANAYİ VE TİCARET LİMİTED ŞİRKET - ACIGÖL ŞUBESİ,"Nevşehir Mah., No: 1-, Acıgöl/NEVŞEHİR",NEVŞEHİR, Atık Elektrikli ve Elektronik Eşya İşleme,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,24.03.2021,2765
155,508494,222777838,ER METAL MADENCİLİK SANAYİ VE TİCARET LİMİTED ŞİRKET - ACIGÖL ŞUBESİ,"Nevşehir Mah., No: 1-, Acıgöl/NEVŞEHİR",NEVŞEHİR, PCB Arındırma,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,24.03.2021,2765
156,508494,222777838,ER METAL MADENCİLİK SANAYİ VE TİCARET LİMİTED ŞİRKET - ACIGÖL ŞUBESİ,"Nevşehir Mah., No: 1-, Acıgöl/NEVŞEHİR",NEVŞEHİR, Atık Ara Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,24.03.2021,2765
157,525291,225612110,AKADEMİ ÇEVRE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ A.Ş.,"Orta Mah., Demokrasi Cad., No: 92 /1-, Tuzla İSTANBUL",İSTANBUL,Tehlikeli Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,04.11.2019,2765
158,525291,225612110,AKADEMİ ÇEVRE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ A.Ş.,"Orta Mah., Demokrasi Cad., No: 92 /1-, Tuzla İSTANBUL",İSTANBUL, Tehlikesiz Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,04.11.2019,2765
159,525291,225612110,AKADEMİ ÇEVRE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ A.Ş.,"Orta Mah., Demokrasi Cad., No: 92 /1-, Tuzla İSTANBUL",İSTANBUL, Ambalaj Atığı Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,04.11.2019,2765
160,525291,225612110,AKADEMİ ÇEVRE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ A.Ş.,"Orta Mah., Demokrasi Cad., No: 92 /1-, Tuzla İSTANBUL",İSTANBUL, Ömrünü Tamamlamış Araç Geçici Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,04.11.2019,2765
161,525291,225612110,AKADEMİ ÇEVRE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ A.Ş.,"Orta Mah., Demokrasi Cad., No: 92 /1-, Tuzla İSTANBUL",İSTANBUL, Tanker Temizleme,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,04.11.2019,2765
162,525291,225612110,AKADEMİ ÇEVRE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ A.Ş.,"Orta Mah., Demokrasi Cad., No: 92 /1-, Tuzla İSTANBUL",İSTANBUL, Hurda Metal /ÖTA İşleme,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,04.11.2019,2765
163,525291,225612110,AKADEMİ ÇEVRE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ A.Ş.,"Orta Mah., Demokrasi Cad., No: 92 /1-, Tuzla İSTANBUL",İSTANBUL, Atık Elektrikli ve Elektronik Eşya İşleme,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,04.11.2019,2765
164,525291,225612110,AKADEMİ ÇEVRE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ A.Ş.,"Orta Mah., Demokrasi Cad., No: 92 /1-, Tuzla İSTANBUL",İSTANBUL, PCB Arındırma,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,04.11.2019,2765
165,525291,225612110,AKADEMİ ÇEVRE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ A.Ş.,"Orta Mah., Demokrasi Cad., No: 92 /1-, Tuzla İSTANBUL",İSTANBUL, Atık Ara Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,04.11.2019,2765
166,525291,225612110,AKADEMİ ÇEVRE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ A.Ş.,"Orta Mah., Demokrasi Cad., No: 92 /1-, Tuzla İSTANBUL",İSTANBUL, Ambalaj Atığı Toplama ve Ayırma Tip ,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,04.11.2019,2765
167,474866,227661262,EKOLOJİK ENERJİ A.Ş. ÇORLU ŞUBESİ,"Hatip Mah., Karatepe Küme Evler, No:16 -1-1, Çorlu TEKİRDAĞ",TEKİRDAĞ,Tehlikesiz Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,02.10.2019,2765
168,474866,227661262,EKOLOJİK ENERJİ A.Ş. ÇORLU ŞUBESİ,"Hatip Mah., Karatepe Küme Evler, No:16 -1-1, Çorlu TEKİRDAĞ",TEKİRDAĞ, Düzenli Depolama - 1. Sınıf (Tehlikeli Atık Düzenli Depolama),"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,02.10.2019,2765
169,474866,227661262,EKOLOJİK ENERJİ A.Ş. ÇORLU ŞUBESİ,"Hatip Mah., Karatepe Küme Evler, No:16 -1-1, Çorlu TEKİRDAĞ",TEKİRDAĞ, Atık Elektrikli ve Elektronik Eşya İşleme,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,02.10.2019,2765
170,474866,227661262,EKOLOJİK ENERJİ A.Ş. ÇORLU ŞUBESİ,"Hatip Mah., Karatepe Küme Evler, No:16 -1-1, Çorlu TEKİRDAĞ",TEKİRDAĞ, Atık Ara Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,02.10.2019,2765
171,474866,227661262,EKOLOJİK ENERJİ A.Ş. ÇORLU ŞUBESİ,"Hatip Mah., Karatepe Küme Evler, No:16 -1-1, Çorlu TEKİRDAĞ",TEKİRDAĞ, Atıktan Türetilmiş Yakıt (ATY) Hazırlama Tesisi,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,02.10.2019,2765
172,474866,227661262,EKOLOJİK ENERJİ A.Ş. ÇORLU ŞUBESİ,"Hatip Mah., Karatepe Küme Evler, No:16 -1-1, Çorlu TEKİRDAĞ",TEKİRDAĞ, Biyobozunur Atık İşleme -Biyometanizasyon,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,02.10.2019,2765
173,474866,227661262,EKOLOJİK ENERJİ A.Ş. ÇORLU ŞUBESİ,"Hatip Mah., Karatepe Küme Evler, No:16 -1-1, Çorlu TEKİRDAĞ",TEKİRDAĞ, Ambalaj Atığı Toplama ve Ayırma Tip ,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,02.10.2019,2765
174,470195,233357474,4R ÇEVRE VE ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,"Fatih Mahallesi, 73 Sokak, No:18 -20-1, Kapaklı/TEKİRDAĞ",TEKİRDAĞ,Atık Ara Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,18.09.2019,2765
175,470195,233357474,4R ÇEVRE VE ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,"Fatih Mahallesi, 73 Sokak, No:18 -20-1, Kapaklı/TEKİRDAĞ",TEKİRDAĞ, Ambalaj Atığı Toplama ve Ayırma Tip ,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,18.09.2019,2765
176,471357,223560086,FERROALLOYS METAL GERİ DÖNÜŞÜM TURİZM VE OTELCİLİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Alaşarköy Mahallesi 1. Alaşar Cadde No: 3 /1 Osmangazi/BURSA,BURSA,Tehlikeli Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,10.09.2019,2765
177,471357,223560086,FERROALLOYS METAL GERİ DÖNÜŞÜM TURİZM VE OTELCİLİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Alaşarköy Mahallesi 1. Alaşar Cadde No: 3 /1 Osmangazi/BURSA,BURSA, Ömrünü Tamamlamış Araç Geçici Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,10.09.2019,2765
178,471357,223560086,FERROALLOYS METAL GERİ DÖNÜŞÜM TURİZM VE OTELCİLİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Alaşarköy Mahallesi 1. Alaşar Cadde No: 3 /1 Osmangazi/BURSA,BURSA, Atık Ara Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,10.09.2019,2765
179,471357,223560086,FERROALLOYS METAL GERİ DÖNÜŞÜM TURİZM VE OTELCİLİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Alaşarköy Mahallesi 1. Alaşar Cadde No: 3 /1 Osmangazi/BURSA,BURSA, Ambalaj Atığı Toplama ve Ayırma Tip ,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,10.09.2019,2765
180,558469,227277658,EKOLOJİK ENERJİ ANONİM ŞİRKETİ DÜZCE ŞUBESİ,"MERKEZ Mahallesi, OSB SOKAK, No: 2 /3-, GÜMÜŞOVA / DÜZCE",DÜZCE,Atık Ara Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,29.04.2022,2765
181,558469,227277658,EKOLOJİK ENERJİ ANONİM ŞİRKETİ DÜZCE ŞUBESİ,"MERKEZ Mahallesi, OSB SOKAK, No: 2 /3-, GÜMÜŞOVA / DÜZCE",DÜZCE, Atıktan Türetilmiş Yakıt (ATY) Hazırlama Tesisi,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,29.04.2022,2765
182,558469,227277658,EKOLOJİK ENERJİ ANONİM ŞİRKETİ DÜZCE ŞUBESİ,"MERKEZ Mahallesi, OSB SOKAK, No: 2 /3-, GÜMÜŞOVA / DÜZCE",DÜZCE, Ambalaj Atığı Toplama ve Ayırma Tip ,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,29.04.2022,2765
183,493205,227365780,ARDAM ATIK YÖNETİMİ VE Depolama SANAYİ VE TİCARET ANONİM ŞİRKETİ,"Ahi Evran OSB Mah., Büyük Selçuklu Cad., No: 5-, Sincan ANKARA",ANKARA,Atık Ara Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,22.07.2020,2765
184,493205,227365780,ARDAM ATIK YÖNETİMİ VE Depolama SANAYİ VE TİCARET ANONİM ŞİRKETİ,"Ahi Evran OSB Mah., Büyük Selçuklu Cad., No: 5-, Sincan ANKARA",ANKARA, Ambalaj Atığı Toplama ve Ayırma Tip ,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,22.07.2020,2765
185,470452,227240692,TUZLA DERİ OSB GERİ DÖNÜŞÜM ANONİM ŞİRKETİ,"Deri OSB Mah., Çevre Sok., No: 3-, Tuzla İSTANBUL",İSTANBUL,Atık Ara Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,08.08.2022,2765
186,470452,227240692,TUZLA DERİ OSB GERİ DÖNÜŞÜM ANONİM ŞİRKETİ,"Deri OSB Mah., Çevre Sok., No: 3-, Tuzla İSTANBUL",İSTANBUL, Atıktan Türetilmiş Yakıt (ATY) Hazırlama Tesisi,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,08.08.2022,2765
187,470452,227240692,TUZLA DERİ OSB GERİ DÖNÜŞÜM ANONİM ŞİRKETİ,"Deri OSB Mah., Çevre Sok., No: 3-, Tuzla İSTANBUL",İSTANBUL, Ambalaj Atığı Toplama ve Ayırma Tip ,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,08.08.2022,2765
188,466327,232781508,BEKER PCB ELEKTRONİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ DÜZCE ŞUBESİ,"İstiklal OSB1 Mahallesi, 7 Cadde, No:3-3/A, Merkez/DÜZCE",DÜZCE,Tehlikesiz Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,11.06.2019,2765
189,466327,232781508,BEKER PCB ELEKTRONİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ DÜZCE ŞUBESİ,"İstiklal OSB1 Mahallesi, 7 Cadde, No:3-3/A, Merkez/DÜZCE",DÜZCE, Ömrünü Tamamlamış Araç Geçici Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,11.06.2019,2765
190,466327,232781508,BEKER PCB ELEKTRONİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ DÜZCE ŞUBESİ,"İstiklal OSB1 Mahallesi, 7 Cadde, No:3-3/A, Merkez/DÜZCE",DÜZCE, Hurda Metal /ÖTA İşleme,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,11.06.2019,2765
191,466327,232781508,BEKER PCB ELEKTRONİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ DÜZCE ŞUBESİ,"İstiklal OSB1 Mahallesi, 7 Cadde, No:3-3/A, Merkez/DÜZCE",DÜZCE, Atık Elektrikli ve Elektronik Eşya İşleme,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,11.06.2019,2765
192,466327,232781508,BEKER PCB ELEKTRONİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ DÜZCE ŞUBESİ,"İstiklal OSB1 Mahallesi, 7 Cadde, No:3-3/A, Merkez/DÜZCE",DÜZCE, Atık Ara Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,11.06.2019,2765
193,466327,232781508,BEKER PCB ELEKTRONİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ DÜZCE ŞUBESİ,"İstiklal OSB1 Mahallesi, 7 Cadde, No:3-3/A, Merkez/DÜZCE",DÜZCE, Ambalaj Atığı Toplama ve Ayırma Tip ,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,11.06.2019,2765
194,492130,223717428,SİMGE RAMATÇILIK İMALAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,"İkitelli OSB Mahallesi, Çevre 3.Blok Sokak, No:1-1, Başakşehir/İSTANBUL",İSTANBUL,Tehlikeli Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,05.08.2020,2765
195,528761,223525526,İSTAÇ İSTANBUL ÇEVRE YÖNETİMİ SANAYİ VE TİCARET ANONİM ŞİRKETİ - KÖMÜRCÜODA TESİSLERİ,"Karakiraz Mahallesi Ergun Sokak No:305, ŞİLE, İSTANBUL",İSTANBUL,Tehlikeli Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,19.08.2021,2765
196,528761,223525526,İSTAÇ İSTANBUL ÇEVRE YÖNETİMİ SANAYİ VE TİCARET ANONİM ŞİRKETİ - KÖMÜRCÜODA TESİSLERİ,"Karakiraz Mahallesi Ergun Sokak No:305, ŞİLE, İSTANBUL",İSTANBUL, Tehlikesiz Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,19.08.2021,2765
197,528761,223525526,İSTAÇ İSTANBUL ÇEVRE YÖNETİMİ SANAYİ VE TİCARET ANONİM ŞİRKETİ - KÖMÜRCÜODA TESİSLERİ,"Karakiraz Mahallesi Ergun Sokak No:305, ŞİLE, İSTANBUL",İSTANBUL, Düzenli Depolama - 1. Sınıf (Tehlikeli Atık Düzenli Depolama),"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,19.08.2021,2765
198,528761,223525526,İSTAÇ İSTANBUL ÇEVRE YÖNETİMİ SANAYİ VE TİCARET ANONİM ŞİRKETİ - KÖMÜRCÜODA TESİSLERİ,"Karakiraz Mahallesi Ergun Sokak No:305, ŞİLE, İSTANBUL",İSTANBUL, Düzenli Depolama - 2. Sınıf (Belediye Atıkları ve Tehlikesiz Atık Düzenli Depolama),"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,19.08.2021,2765
199,528761,223525526,İSTAÇ İSTANBUL ÇEVRE YÖNETİMİ SANAYİ VE TİCARET ANONİM ŞİRKETİ - KÖMÜRCÜODA TESİSLERİ,"Karakiraz Mahallesi Ergun Sokak No:305, ŞİLE, İSTANBUL",İSTANBUL, Atık Ara Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,19.08.2021,2765
